,Date,Part Name,laddle,% C,% Si,% Mn,% P,% S,% Cu,% Cr,% Ni,% Mo,% Sn,% Mg,% Ti,% Al,% B,% V,% Sb,% Nb,% Ce,%Fe,%CE,% Active clay,% Dead clay,% Total clay,% Ignition loss,% Volatile matters,AFS No.,% CARBON,Volume,Rejet CA,%Rejet CA
0,3A04,C/C RT155,1,3.44,2.46,0.442,0.0182,0.0246,0.0787,0.0625,0.031,0.0168,0.0866,0.003,0.0123,0.0027,0.0018,0.0066,0.0057,0.006,0.0,93.267,4.18,6.86,3.320000171661377,10.18,3.88,2.0,56.579,2.28,120.0,3.0,2.5
1,3A04,C/C RT155,2,3.5,2.5,0.459,0.0179,0.0219,0.0813,0.0627,0.032,0.0176,0.0846,0.003,0.0122,0.0022,0.0017,0.0065,0.0053,0.0059,0.001,93.136,4.27,6.86,3.320000171661377,10.18,3.88,2.0,56.579,2.28,120.0,3.0,2.5
2,3A04,C/C RT155,3,3.44,2.49,0.462,0.0176,0.0217,0.0812,0.063,0.0322,0.0173,0.085,0.003,0.0122,0.0023,0.0017,0.0064,0.0051,0.0048,0.0015,93.222,4.19,6.86,3.320000171661377,10.18,3.88,2.0,56.579,2.28,120.0,3.0,2.5
3,3A04,C/C RT155,4,3.5,2.5,0.459,0.0177,0.0233,0.0817,0.0628,0.032,0.0175,0.0864,0.003,0.0124,0.0022,0.0017,0.0065,0.0051,0.0065,0.0,93.143,4.26,6.86,3.320000171661377,10.18,3.88,2.0,56.579,2.28,120.0,3.0,2.5
4,3A04,C/C RT155,5,3.46,2.48,0.458,0.0183,0.0235,0.0814,0.0628,0.0321,0.0175,0.086,0.002,0.0122,0.002,0.0017,0.0062,0.0046,0.0051,0.0007,93.23,4.2,6.86,3.320000171661377,10.18,3.88,2.0,56.579,2.28,120.0,3.0,2.5
5,3A04,C/C RT155,6,3.42,2.49,0.461,0.0178,0.0224,0.0803,0.0632,0.0319,0.0173,0.0838,0.002,0.0123,0.0018,0.0017,0.0064,0.0046,0.0064,0.0019,93.257,4.17,6.86,3.320000171661377,10.18,3.88,2.0,56.579,2.28,120.0,3.0,2.5
6,3A05,C/C RT155,1,3.43,2.44,0.44,0.0152,0.0217,0.0579,0.0596,0.0217,0.0106,0.0867,0.003,0.0102,0.002,0.0014,0.006,0.0033,0.0048,0.0,93.345,4.16,6.67,3.3999996185302734,10.07,3.53,1.94,56.579,2.28,120.0,4.0,3.333333333
7,3A05,C/C RT155,2,3.5,2.48,0.445,0.0167,0.0297,0.0676,0.0619,0.0242,0.0129,0.0838,0.004,0.011,0.0025,0.0016,0.0064,0.0034,0.0053,0.0,93.16,4.29,6.67,3.3999996185302734,10.07,3.53,1.94,56.579,2.28,120.0,4.0,3.333333333
8,3A05,C/C RT155,3,3.5,2.48,0.442,0.0166,0.0237,0.0664,0.0615,0.024,0.013,0.0843,0.003,0.0109,0.0023,0.001,0.0063,0.0034,0.0055,0.0,93.205,4.26,6.67,3.3999996185302734,10.07,3.53,1.94,56.579,2.28,120.0,4.0,3.333333333
9,3A05,C/C RT155,4,3.46,2.5,0.44,0.0155,0.0249,0.0678,0.061,0.0242,0.013,0.0841,0.003,0.0108,0.0021,0.0016,0.0062,0.0035,0.0047,0.0,93.238,4.21,6.67,3.3999996185302734,10.07,3.53,1.94,56.579,2.28,120.0,4.0,3.333333333
10,3A05,C/C RT155,5,3.48,2.5,0.442,0.0156,0.0238,0.0649,0.0614,0.0244,0.0129,0.0851,0.003,0.0109,0.0022,0.0016,0.0064,0.0043,0.0056,0.0,93.196,4.24,6.67,3.3999996185302734,10.07,3.53,1.94,56.579,2.28,120.0,4.0,3.333333333
11,3A05,C/C RT155,6,3.41,2.48,0.439,0.0153,0.0228,0.066,0.061,0.0245,0.0125,0.0841,0.003,0.0108,0.0019,0.0015,0.0062,0.0034,0.0047,0.0,93.336,4.15,6.67,3.3999996185302734,10.07,3.53,1.94,56.579,2.28,120.0,4.0,3.333333333
12,3A06,C/C RT155,1,3.41,2.48,0.435,0.0152,0.0268,0.0688,0.0674,0.0351,0.0229,0.0865,0.003,0.0146,0.0019,0.0015,0.0068,0.0038,0.0049,0.0,93.296,4.15,6.82,2.9599995613098145,9.78,3.45,2.25,56.579,2.28,120.0,3.0,2.5
13,3A06,C/C RT155,2,3.41,2.49,0.432,0.0151,0.0267,0.0694,0.067,0.0351,0.0231,0.0868,0.002,0.0145,0.002,0.0015,0.0067,0.0036,0.0044,0.0,93.288,4.16,6.82,2.9599995613098145,9.78,3.45,2.25,56.579,2.28,120.0,3.0,2.5
14,3A06,C/C RT155,3,3.41,2.46,0.435,0.0146,0.0256,0.07,0.0677,0.0353,0.0231,0.0852,0.003,0.0147,0.0021,0.0015,0.0069,0.0033,0.0047,0.0,93.318,4.15,6.82,2.9599995613098145,9.78,3.45,2.25,56.579,2.28,120.0,3.0,2.5
15,3A06,C/C RT155,4,3.38,2.43,0.441,0.0151,0.0215,0.0608,0.0703,0.036,0.0235,0.0897,0.003,0.0148,0.0023,0.0015,0.0081,0.0032,0.0052,0.0038,93.359,4.11,6.82,2.9599995613098145,9.78,3.45,2.25,56.579,2.28,120.0,3.0,2.5
16,3A06,C/C RT155,5,3.39,2.45,0.441,0.0146,0.0231,0.0603,0.0701,0.036,0.0233,0.0891,0.003,0.0149,0.0022,0.0015,0.008,0.0036,0.0052,0.0034,93.344,4.12,6.82,2.9599995613098145,9.78,3.45,2.25,56.579,2.28,120.0,3.0,2.5
17,3A06,C/C RT155,6,3.38,2.42,0.441,0.0145,0.0216,0.0647,0.0703,0.0362,0.0235,0.0895,0.003,0.0148,0.0023,0.0015,0.008,0.0034,0.005,0.0036,93.385,4.1,6.82,2.9599995613098145,9.78,3.45,2.25,56.579,2.28,120.0,3.0,2.5
18,3A09,C/C RT155,1,3.37,2.46,0.436,0.0132,0.0173,0.0822,0.0539,0.0268,0.0129,0.0879,0.002,0.0153,0.0023,0.0024,0.0075,0.0026,0.004,0.0,93.376,4.11,6.35,3.070000171661377,9.42,3.46,1.7,56.544,2.42,120.0,4.0,3.333333333
19,3A09,C/C RT155,2,3.34,2.44,0.437,0.0128,0.0165,0.0826,0.058,0.0282,0.0148,0.084,0.002,0.0149,0.0017,0.0022,0.0073,0.0025,0.0051,0.0,93.479,4.02,6.35,3.070000171661377,9.42,3.46,1.7,56.544,2.42,120.0,4.0,3.333333333
20,3A09,C/C RT155,3,3.33,2.44,0.437,0.0129,0.0151,0.0828,0.058,0.0284,0.0151,0.0864,0.002,0.0149,0.0019,0.0022,0.0073,0.0027,0.0039,0.0,93.489,4.01,6.35,3.070000171661377,9.42,3.46,1.7,56.544,2.42,120.0,4.0,3.333333333
21,3A09,C/C RT155,4,3.3,2.45,0.435,0.013,0.0165,0.0807,0.0578,0.0284,0.0148,0.0854,0.002,0.0149,0.0015,0.0022,0.0071,0.0024,0.0046,0.0,93.489,4.01,6.35,3.070000171661377,9.42,3.46,1.7,56.544,2.42,120.0,4.0,3.333333333
22,3A09,C/C RT155,5,3.3,2.42,0.434,0.0124,0.0155,0.0822,0.0575,0.0284,0.0143,0.0833,0.001,0.0144,0.0016,0.0022,0.007,0.002,0.0038,0.0,93.572,3.96,6.35,3.070000171661377,9.42,3.46,1.7,56.544,2.42,120.0,4.0,3.333333333
23,3A09,C/C RT155,6,3.28,2.45,0.436,0.0127,0.0157,0.082,0.0578,0.0283,0.0147,0.0854,0.002,0.0149,0.002,0.0022,0.0073,0.0028,0.0051,0.0,93.505,3.99,6.35,3.070000171661377,9.42,3.46,1.7,56.544,2.42,120.0,4.0,3.333333333
24,3A11,C/C RT155,1,3.42,2.4,0.443,0.0134,0.0201,0.0992,0.063,0.0393,0.0248,0.0907,0.002,0.0149,0.0016,0.0015,0.0075,0.002,0.0056,0.0,93.319,4.14,6.35,2.8499999046325684,9.2,3.82,2.01,56.544,2.23,120.0,3.0,2.5
25,3A11,C/C RT155,2,3.41,2.45,0.443,0.013,0.0185,0.1029,0.0606,0.0376,0.0235,0.0817,0.002,0.0151,0.0021,0.0015,0.0075,0.0027,0.0053,0.0,93.301,4.14,6.35,2.8499999046325684,9.2,3.82,2.01,56.544,2.23,120.0,3.0,2.5
26,3A11,C/C RT155,3,3.39,2.43,0.443,0.0133,0.0189,0.1031,0.0606,0.0378,0.0235,0.0828,0.002,0.0151,0.0019,0.0015,0.0074,0.0021,0.0061,0.0,93.333,4.12,6.35,2.8499999046325684,9.2,3.82,2.01,56.544,2.23,120.0,3.0,2.5
27,3A11,C/C RT155,4,3.42,2.42,0.446,0.0138,0.0199,0.1026,0.0611,0.0381,0.0234,0.0825,0.002,0.015,0.0018,0.0016,0.0074,0.0025,0.0059,0.0,93.308,4.15,6.35,2.8499999046325684,9.2,3.82,2.01,56.544,2.23,120.0,3.0,2.5
28,3A11,C/C RT155,5,3.39,2.44,0.445,0.0137,0.0186,0.1026,0.0609,0.038,0.0234,0.0828,0.002,0.015,0.0019,0.0016,0.0074,0.0023,0.005,0.0,93.328,4.12,6.35,2.8499999046325684,9.2,3.82,2.01,56.544,2.23,120.0,3.0,2.5
29,3A11,C/C RT155,6,3.39,2.43,0.444,0.013,0.0185,0.1033,0.0608,0.038,0.0235,0.0823,0.002,0.0149,0.0017,0.0016,0.0075,0.0025,0.0061,0.0,93.343,4.12,6.35,2.8499999046325684,9.2,3.82,2.01,56.544,2.23,120.0,3.0,2.5
30,3A12,C/C RT155,1,3.38,2.47,0.455,0.0151,0.0177,0.0826,0.0579,0.0296,0.0202,0.087,0.001,0.0164,0.0019,0.0016,0.0067,0.0008,0.0069,0.0,93.275,4.12,6.54,2.4800004959106445,9.02,3.39,1.99,56.544,2.23,118.0,3.0,2.542372881
31,3A12,C/C RT155,2,3.41,2.49,0.451,0.0134,0.0169,0.0797,0.0551,0.0287,0.0185,0.083,0.002,0.0162,0.0017,0.0016,0.0066,0.0003,0.0047,0.0,93.264,4.15,6.54,2.4800004959106445,9.02,3.39,1.99,56.544,2.23,118.0,3.0,2.542372881
32,3A12,C/C RT155,3,3.37,2.48,0.452,0.0136,0.0151,0.0801,0.0556,0.0288,0.0187,0.0825,0.001,0.0161,0.0017,0.0015,0.0066,0.0005,0.0047,0.0,93.32,4.12,6.54,2.4800004959106445,9.02,3.39,1.99,56.544,2.23,118.0,3.0,2.542372881
33,3A12,C/C RT155,4,3.33,2.49,0.452,0.0133,0.0147,0.0801,0.0555,0.0289,0.0187,0.0829,0.001,0.0163,0.0015,0.0016,0.0066,0.0009,0.0053,0.0,93.353,4.08,6.54,2.4800004959106445,9.02,3.39,1.99,56.544,2.23,118.0,3.0,2.542372881
34,3A12,C/C RT155,5,3.41,2.5,0.451,0.0139,0.0149,0.0818,0.0553,0.0289,0.0189,0.0833,0.001,0.0162,0.0016,0.0016,0.0067,0.0016,0.0065,0.0,93.238,4.17,6.54,2.4800004959106445,9.02,3.39,1.99,56.544,2.23,118.0,3.0,2.542372881
35,3A12,C/C RT155,6,3.37,2.5,0.452,0.0131,0.0174,0.0805,0.0554,0.0288,0.0186,0.0822,0.001,0.0161,0.0014,0.0016,0.0067,0.0009,0.0057,0.0,93.305,4.12,6.54,2.4800004959106445,9.02,3.39,1.99,56.544,2.23,118.0,3.0,2.542372881
36,3A16,C/C RT155,1,3.49,2.43,0.428,0.0123,0.0146,0.1054,0.0589,0.0419,0.0293,0.0839,0.003,0.0113,0.0033,0.0013,0.0072,0.0022,0.0052,0.0213,93.235,4.22,6.35,3.0400004386901855,9.39,3.69,2.24,58.492,2.25,100.0,3.0,3.0
37,3A16,C/C RT155,2,3.43,2.45,0.444,0.012,0.0143,0.1056,0.0554,0.0393,0.0259,0.0831,0.003,0.0115,0.0023,0.0013,0.007,0.0019,0.0049,0.0188,93.281,4.16,6.35,3.0400004386901855,9.39,3.69,2.24,58.492,2.25,100.0,3.0,3.0
38,3A16,C/C RT155,3,3.43,2.41,0.437,0.0127,0.0148,0.1059,0.055,0.0398,0.0258,0.0839,0.002,0.0112,0.002,0.0013,0.0066,0.0018,0.0036,0.0137,93.335,4.15,6.35,3.0400004386901855,9.39,3.69,2.24,58.492,2.25,100.0,3.0,3.0
39,3A16,C/C RT155,4,3.42,2.44,0.44,0.0124,0.0147,0.1059,0.0549,0.0395,0.0257,0.0837,0.002,0.0114,0.0023,0.0014,0.0069,0.0021,0.004,0.0156,93.307,4.15,6.35,3.0400004386901855,9.39,3.69,2.24,58.492,2.25,100.0,3.0,3.0
40,3A16,C/C RT155,5,3.43,2.45,0.442,0.0124,0.0159,0.1057,0.0553,0.0396,0.0259,0.0851,0.003,0.0114,0.002,0.0013,0.0069,0.0019,0.0052,0.0152,93.281,4.17,6.35,3.0400004386901855,9.39,3.69,2.24,58.492,2.25,100.0,3.0,3.0
41,3A17,C/C RT155,1,3.39,2.37,0.461,0.0133,0.0173,0.0916,0.0611,0.043,0.0295,0.0878,0.002,0.0113,0.002,0.0013,0.0062,0.0018,0.0043,0.0128,93.383,4.1,6.73,3.1100001335144043,9.84,3.43,2.1,58.492,2.25,120.0,4.0,3.333333333
42,3A17,C/C RT155,2,3.44,2.38,0.462,0.0128,0.0162,0.092,0.0611,0.0427,0.0294,0.0877,0.002,0.0113,0.0022,0.0013,0.0063,0.002,0.0035,0.012,93.327,4.15,6.73,3.1100001335144043,9.84,3.43,2.1,58.492,2.25,120.0,4.0,3.333333333
43,3A17,C/C RT155,3,3.37,2.35,0.462,0.0127,0.0155,0.0919,0.0611,0.0432,0.0292,0.0866,0.002,0.0111,0.0027,0.0013,0.0062,0.0019,0.0034,0.0133,93.423,4.08,6.73,3.1100001335144043,9.84,3.43,2.1,58.492,2.25,120.0,4.0,3.333333333
44,3A17,C/C RT155,4,3.36,2.42,0.459,0.0147,0.018,0.1485,0.0665,0.0343,0.0272,0.086,0.003,0.0117,0.0025,0.0017,0.0068,0.002,0.005,0.0111,93.304,4.08,6.73,3.1100001335144043,9.84,3.43,2.1,58.492,2.25,120.0,4.0,3.333333333
45,3A17,C/C RT155,5,3.37,2.42,0.468,0.0165,0.0184,0.1466,0.0679,0.0347,0.0283,0.0874,0.003,0.012,0.0028,0.0018,0.0071,0.0021,0.0058,0.0152,93.283,4.09,6.73,3.1100001335144043,9.84,3.43,2.1,58.492,2.25,120.0,4.0,3.333333333
46,3A17,C/C RT155,6,3.34,2.41,0.464,0.0161,0.0167,0.1476,0.0674,0.0346,0.0277,0.0859,0.003,0.0117,0.0025,0.0017,0.0069,0.002,0.005,0.0135,93.333,4.06,6.73,3.1100001335144043,9.84,3.43,2.1,58.492,2.25,120.0,4.0,3.333333333
47,3A18,C/C RT155,1,3.48,2.44,0.461,0.0195,0.0127,0.1095,0.0441,0.0166,0.0078,0.0857,0.003,0.0191,0.0027,0.0018,0.0073,0.0034,0.009,0.0159,93.138,4.22,6.54,3.020000457763672,9.56,3.5,1.73,58.492,2.29,60.0,2.0,3.333333333
48,3A18,C/C RT155,2,3.47,2.47,0.458,0.0193,0.0149,0.113,0.0489,0.0201,0.012,0.0895,0.003,0.0178,0.0032,0.0018,0.0073,0.003,0.0097,0.0161,93.129,4.21,6.54,3.020000457763672,9.56,3.5,1.73,58.492,2.29,60.0,2.0,3.333333333
49,3A18,C/C RT155,3,3.49,2.5,0.459,0.0199,0.0154,0.1137,0.0488,0.0201,0.0119,0.0917,0.004,0.0179,0.0033,0.0018,0.0073,0.0034,0.0095,0.0154,93.076,4.24,6.54,3.020000457763672,9.56,3.5,1.73,58.492,2.29,60.0,2.0,3.333333333
50,3A18,C/C RT155,4,3.44,2.45,0.456,0.0187,0.0146,0.1141,0.0489,0.0202,0.0119,0.0882,0.003,0.0176,0.003,0.0018,0.0072,0.0031,0.0087,0.0175,93.2,4.18,6.54,3.020000457763672,9.56,3.5,1.73,58.492,2.29,60.0,2.0,3.333333333
51,3A18,C/C RT155,5,3.45,2.47,0.457,0.0191,0.0156,0.1147,0.0489,0.0202,0.0116,0.0899,0.003,0.0177,0.0028,0.0018,0.0072,0.0032,0.0092,0.0171,93.174,4.19,6.54,3.020000457763672,9.56,3.5,1.73,58.492,2.29,60.0,2.0,3.333333333
52,3A18,C/C RT155,6,3.45,2.49,0.458,0.0185,0.0152,0.1132,0.0491,0.0202,0.0119,0.0902,0.003,0.0179,0.0027,0.0018,0.0074,0.0031,0.0096,0.0186,93.167,4.2,6.54,3.020000457763672,9.56,3.5,1.73,58.492,2.29,60.0,2.0,3.333333333
53,3A19,C/C RT155,1,3.44,2.38,0.449,0.016,0.0144,0.0748,0.0406,0.0208,0.0119,0.0867,0.003,0.0161,0.0027,0.0016,0.0068,0.0025,0.0066,0.0116,93.38,4.16,6.73,3.1500000953674316,9.88,3.6,1.97,58.492,2.29,120.0,4.0,3.333333333
54,3A19,C/C RT155,2,3.42,2.42,0.447,0.0152,0.0142,0.0824,0.0429,0.0217,0.0125,0.0851,0.003,0.0159,0.0028,0.0016,0.0069,0.0031,0.0067,0.0128,93.359,4.14,6.73,3.1500000953674316,9.88,3.6,1.97,58.492,2.29,120.0,4.0,3.333333333
55,3A19,C/C RT155,3,3.39,2.4,0.444,0.0152,0.0134,0.0805,0.0421,0.0216,0.0124,0.0841,0.002,0.0157,0.0036,0.0016,0.0065,0.0025,0.0058,0.0096,93.42,4.11,6.73,3.1500000953674316,9.88,3.6,1.97,58.492,2.29,120.0,4.0,3.333333333
56,3A19,C/C RT155,4,3.44,2.39,0.45,0.0164,0.0153,0.0831,0.0433,0.022,0.0128,0.0849,0.003,0.016,0.0031,0.0016,0.007,0.0031,0.0075,0.0183,93.347,4.16,6.73,3.1500000953674316,9.88,3.6,1.97,58.492,2.29,120.0,4.0,3.333333333
57,3A19,C/C RT155,5,3.48,2.41,0.448,0.0161,0.0144,0.0821,0.0428,0.0217,0.0126,0.0857,0.003,0.016,0.0031,0.0016,0.0068,0.003,0.007,0.016,93.31,4.2,6.73,3.1500000953674316,9.88,3.6,1.97,58.492,2.29,120.0,4.0,3.333333333
58,3A19,C/C RT155,6,3.43,2.38,0.445,0.0157,0.014,0.082,0.0428,0.0219,0.0124,0.0843,0.003,0.0158,0.0025,0.0016,0.0067,0.0031,0.0071,0.0145,93.396,4.15,6.73,3.1500000953674316,9.88,3.6,1.97,58.492,2.29,120.0,4.0,3.333333333
59,3A20,C/C RT155,1,3.42,2.41,0.441,0.0208,0.0159,0.0958,0.0403,0.0167,0.0096,0.0925,0.003,0.0149,0.0033,0.0018,0.0065,0.0048,0.0076,0.0123,93.252,4.14,6.35,2.830000400543213,9.18,3.31,1.72,58.492,2.29,118.0,3.0,2.542372881
60,3A20,C/C RT155,2,3.4,2.47,0.439,0.0182,0.0136,0.0956,0.0425,0.0179,0.0109,0.0908,0.003,0.0148,0.0029,0.0017,0.0066,0.0041,0.0074,0.0138,93.234,4.15,6.35,2.830000400543213,9.18,3.31,1.72,58.492,2.29,118.0,3.0,2.542372881
61,3A20,C/C RT155,3,3.39,2.41,0.432,0.0188,0.0138,0.0941,0.0416,0.0181,0.0102,0.0902,0.003,0.0144,0.0024,0.0017,0.0062,0.0042,0.0056,0.0082,93.349,4.11,6.35,2.830000400543213,9.18,3.31,1.72,58.492,2.29,118.0,3.0,2.542372881
62,3A20,C/C RT155,4,3.41,2.4,0.434,0.0204,0.0159,0.0952,0.0425,0.0181,0.0105,0.0898,0.003,0.0148,0.0024,0.0017,0.0064,0.0039,0.0062,0.0085,93.342,4.13,6.35,2.830000400543213,9.18,3.31,1.72,58.492,2.29,118.0,3.0,2.542372881
63,3A20,C/C RT155,5,3.41,2.45,0.438,0.0201,0.0151,0.0948,0.0425,0.018,0.0104,0.091,0.003,0.0148,0.0028,0.0017,0.0066,0.0041,0.0072,0.013,93.282,4.15,6.35,2.830000400543213,9.18,3.31,1.72,58.492,2.29,118.0,3.0,2.542372881
64,3A20,C/C RT155,6,3.33,2.43,0.435,0.019,0.0141,0.0955,0.0421,0.0181,0.0102,0.0899,0.002,0.0145,0.0024,0.0017,0.0064,0.0035,0.0054,0.0111,93.413,4.06,6.35,2.830000400543213,9.18,3.31,1.72,58.492,2.29,118.0,3.0,2.542372881
65,3A23,C/C RT155,1,3.28,2.37,0.447,0.0135,0.0138,0.0728,0.0448,0.0248,0.0157,0.0881,0.001,0.0198,0.0019,0.0013,0.006,0.0037,0.0038,0.0,93.501,3.99,6.6,3.5099997520446777,10.11,3.1,1.92,57.342,2.92,118.0,3.0,2.542372881
